Hidropatia Total,Hidropatia Media,Hidropatia C-Terminal,Carga C-Terminal,Aminoacidos Basicos C-Terminal,Dupla Helice,Sinal Nuclear,Sinal Mitocondrial,Dominio Prenilacao,c#CLASSE
-123.5,-0.74,-46.6,-8,2,0,0,0,0,1
-219.2,-0.29,-16.2,-1,2,1,0,1,0,1
-192.4,-0.38,-21.4,-2,2,1,0,1,0,1
-134.6,-0.53,-27.2,-2,3,1,0,0,0,1
-239.2,-0.4,-27.7,-1,2,1,0,0,0,1
-145.2,-0.41,2.2,-4,1,1,0,0,0,1
-373.2,-0.71,-55.1,0,6,1,0,0,0,1
-638.6,-0.66,-28.4,-6,2,1,0,1,0,1
-359.0,-0.41,-21.8,3,6,1,1,0,0,1
-219.8,-0.42,0.5,0,3,1,1,0,0,1
-506.4,-0.59,-14.8,0,2,1,1,0,0,1
-216.7,-0.52,-23.1,0,5,1,0,1,0,1
-234.4,-0.39,-19.8,-1,2,1,0,0,0,1
-330.1,-0.49,-18.5,-1,4,1,1,1,0,1
-100.1,-0.28,-12.4,1,6,1,0,0,0,1
22.3,0.05,-3.6,1,5,1,0,1,0,1
-125.2,-0.29,-20.1,2,4,1,0,0,0,1
-56.2,-0.43,32.4,2,2,1,0,0,0,1
-168.4,-0.4,-13.2,0,4,1,0,0,0,1
-107.5,-0.22,-30.8,3,6,1,0,1,0,1
-9.1,-0.04,-11.8,-2,3,0,0,0,0,1
-270.8,-0.48,-25.3,-9,0,1,0,0,0,1
-278.4,-0.51,-2.9,2,3,1,0,0,0,1
-215.1,-0.38,13.5,1,2,1,0,0,0,1
-254.1,-0.47,6.1,-3,2,1,0,1,0,1
-139.9,-0.32,-18.5,1,4,1,0,0,0,1
-368.0,-0.78,-53.6,0,4,1,0,1,0,1
-136.5,-0.62,-17.2,2,5,1,0,1,0,1
-212.0,-0.52,-23.3,-4,1,1,0,0,0,1
-231.8,-0.4,-23.5,-1,3,1,0,0,0,1
30.9,0.15,-19.6,1,5,1,0,0,0,1
-190.5,-0.77,-1.7,0,3,1,0,0,0,1
-56.4,-0.17,6.4,1,3,1,0,0,0,1
-327.5,-0.73,-32.4,0,5,1,0,0,0,1
-211.7,-0.57,-28.6,1,6,1,0,0,0,1
-280.4,-0.37,3.2,-3,1,1,0,0,0,1
-45.3,-0.08,-8.2,1,4,1,0,0,0,1
-67.9,-0.17,-3.4,5,5,1,0,0,0,0
-8.6,-0.03,0.9,-2,2,1,0,0,0,0
-28.1,-0.08,9.0,0,2,1,0,0,0,0
-26.2,-0.09,-0.9,3,7,1,0,1,0,0
-59.7,-0.16,14.4,5,5,1,0,1,0,0
-263.3,-0.33,-21.5,-3,2,1,0,0,0,0
-241.2,-0.25,-20.5,2,3,1,0,1,0,0
-231.6,-0.28,-8.8,1,5,1,1,1,0,0
-192.1,-0.37,1.9,2,4,1,0,1,0,0
